"","recorded_by_mdy","typed_by_mdy","session","block","pot_ID","treatment","sample_month","sample_day","sample_year","period","weight_lbs","weight_grams","remarks"
"53","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SEAC-11","WD",7,7,2018,"T3",4.07,1846,NA
"54","GX - 07/07/2018","GX - 07/09/2018",1,"B1","DEFL-18","WD",7,7,2018,"T3",3.97,1801,NA
"55","GX - 07/07/2018","GX - 07/09/2018",1,"B1","EMNI-12","WD",7,7,2018,"T3",4.29,1946,NA
"56","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SC-15","WD",7,7,2018,"T3",3.48,1578,NA
"57","GX - 07/07/2018","GX - 07/09/2018",1,"B1","PLMA-16","WD",7,7,2018,"T3",3.94,1787,NA
"58","GX - 07/07/2018","GX - 07/09/2018",1,"B1","DASP-1","WD",7,7,2018,"T3",4.01,1819,NA
"59","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SYNO-9","WD",7,7,2018,"T3",3.91,1774,NA
"60","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SOBI-17","WD",7,7,2018,"T3",3.65,1656,NA
"61","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SITR-5","WD",7,7,2018,"T3",4.33,1964,NA
"62","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SESE-20","WD",7,7,2018,"T3",3.93,1783,NA
"63","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SEAL-14","WD",7,7,2018,"T3",3.96,1796,NA
"64","GX - 07/07/2018","GX - 07/09/2018",1,"B1","VAMA-19","WD",7,7,2018,"T3",3.96,1796,NA
"65","GX - 07/08/2018","GX - 07/09/2018",1,"B1","FERU-5","WD",7,8,2018,"T3",4.14,1878,NA
"66","GX - 07/06/2018","GX - 07/09/2018",1,"B1","EMNI-13","WD",7,6,2018,"T3",4.59,2082,NA
"67","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SC-1","WD",7,6,2018,"T3",4.06,1842,NA
"68","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SOBI-5","WD",7,6,2018,"T3",3.52,1597,NA
"69","GX - 07/06/2018","GX - 07/09/2018",1,"B1","PLMA-10","WD",7,6,2018,"T3",4.28,1941,NA
"70","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SYNO-11","WD",7,6,2018,"T3",4.36,1978,NA
"71","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SESE-18","WD",7,6,2018,"T3",4.11,1864,NA
"72","GX - 07/06/2018","GX - 07/09/2018",1,"B1","VAMA-20","WD",7,6,2018,"T3",4.35,1973,NA
"73","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SITR-7","WD",7,6,2018,"T3",4.28,1941,NA
"74","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SEAL-4","WD",7,6,2018,"T3",3.7,1678,NA
"75","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SEAC-17","WD",7,6,2018,"T3",4.38,1987,NA
"76","GX - 07/06/2018","GX - 07/09/2018",1,"B1","DASP-12","WD",7,6,2018,"T3",4.07,1846,NA
"77","GX - 07/06/2018","GX - 07/09/2018",1,"B1","DEFL-13","WD",7,6,2018,"T3",4.09,1855,NA
"78","GX - 07/06/2018","GX - 07/09/2018",1,"B1","FERU-1","WD",7,6,2018,"T3",3.86,1751,NA
"79","GX - 07/08/2018","GX - 07/09/2018",1,"B1","SEAC-11","WD",7,8,2018,"T4",3.98,1805,NA
"80","GX - 07/08/2018","GX - 07/09/2018",1,"B1","DEFL-18","WD",7,8,2018,"T4",3.83,1737,NA
"81","GX - 07/08/2018","GX - 07/09/2018",1,"B1","EMNI-12","WD",7,8,2018,"T4",4.29,1946,NA
"82","GX - 07/08/2018","GX - 07/09/2018",1,"B1","SC-15","WD",7,8,2018,"T4",3.4,1542,NA
"83","GX - 07/08/2018","GX - 07/09/2018",1,"B1","PLMA-16","WD",7,8,2018,"T4",3.87,1755,NA
"84","GX - 07/08/2018","GX - 07/09/2018",1,"B1","DASP-1","WD",7,8,2018,"T4",3.93,1783,NA
"85","GX - 07/08/2018","GX - 07/09/2018",1,"B1","SYNO-9","WD",7,8,2018,"T4",3.74,1696,NA
"86","GX - 07/08/2018","GX - 07/09/2018",1,"B1","SOBI-17","WD",7,8,2018,"T4",3.51,1592,NA
"87","GX - 07/08/2018","GX - 07/09/2018",1,"B1","SITR-5","WD",7,8,2018,"T4",4.25,1928,NA
"88","GX - 07/08/2018","GX - 07/09/2018",1,"B1","SESE-20","WD",7,8,2018,"T4",4.24,1923,NA
"89","GX - 07/08/2018","GX - 07/09/2018",1,"B1","SEAL-14","WD",7,8,2018,"T4",3.83,1737,NA
"90","GX - 07/08/2018","GX - 07/09/2018",1,"B1","VAMA-19","WD",7,8,2018,"T4",4.05,1837,NA
"91","GX - 07/08/2018","GX - 07/09/2018",1,"B1","FERU-5","WD",7,8,2018,"T4",3.72,1687,NA
"92","GX - 07/06/2018","GX - 07/09/2018",1,"B1","EMNI-13","WD",7,6,2018,"T4",4.46,2023,NA
"93","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SC-1","WD",7,6,2018,"T4",3.93,1783,NA
"94","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SOBI-5","WD",7,6,2018,"T4",3.29,1492,NA
"95","GX - 07/06/2018","GX - 07/09/2018",1,"B1","PLMA-10","WD",7,6,2018,"T4",4.07,1846,NA
"96","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SYNO-11","WD",7,6,2018,"T4",4.18,1896,NA
"97","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SESE-18","WD",7,6,2018,"T4",3.93,1783,NA
"98","GX - 07/06/2018","GX - 07/09/2018",1,"B1","VAMA-20","WD",7,6,2018,"T4",4.24,1923,NA
"99","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SITR-7","WD",7,6,2018,"T4",4.18,1896,NA
"100","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SEAL-4","WD",7,6,2018,"T4",3.53,1601,NA
"101","GX - 07/06/2018","GX - 07/09/2018",1,"B1","SEAC-17","WD",7,6,2018,"T4",4.28,1941,NA
"102","GX - 07/06/2018","GX - 07/09/2018",1,"B1","DASP-12","WD",7,6,2018,"T4",3.98,1805,NA
"103","GX - 07/06/2018","GX - 07/09/2018",1,"B1","DEFL-13","WD",7,6,2018,"T4",3.95,1792,NA
"104","GX - 07/06/2018","GX - 07/09/2018",1,"B1","FERU-1","WD",7,6,2018,"T4",3.73,1692,NA
"105","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SEAC-3","WD",7,6,2018,"T1",3.84,1742,NA
"106","GX - 07/06/2018","GX - 07/09/2018",1,"B2","DEFL-20","WD",7,6,2018,"T1",2.99,1356,NA
"107","GX - 07/06/2018","GX - 07/09/2018",1,"B2","EMNI-9","WD",7,6,2018,"T1",3.65,1656,NA
"108","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SC-7","WD",7,6,2018,"T1",2.92,1324,NA
"109","GX - 07/06/2018","GX - 07/09/2018",1,"B2","PLMA-6","WD",7,6,2018,"T1",3.41,1547,NA
"110","GX - 07/06/2018","GX - 07/09/2018",1,"B2","DASP-6","WD",7,6,2018,"T1",3.19,1447,NA
"111","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SYNO-17","WD",7,6,2018,"T1",3.07,1393,NA
"112","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SOBI-9","WD",7,6,2018,"T1",3.01,1365,NA
"113","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SITR-2","WD",7,6,2018,"T1",3.67,1665,NA
"114","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SESE-7","WD",7,6,2018,"T1",3.6,1633,NA
"115","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SEAL-8","WD",7,6,2018,"T1",3.3,1497,NA
"116","GX - 07/06/2018","GX - 07/09/2018",1,"B2","VAMA-3","WD",7,6,2018,"T1",3.76,1705,NA
"117","GX - 07/06/2018","GX - 07/09/2018",1,"B2","FERU-19","WD",7,6,2018,"T1",3.78,1715,NA
"118","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SEAC-3","WD",7,6,2018,"T2",4.31,1955,NA
"119","GX - 07/06/2018","GX - 07/09/2018",1,"B2","DEFL-20","WD",7,6,2018,"T2",4,1814,NA
"120","GX - 07/06/2018","GX - 07/09/2018",1,"B2","EMNI-9","WD",7,6,2018,"T2",4.6,2087,NA
"121","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SC-7","WD",7,6,2018,"T2",3.88,1760,NA
"122","GX - 07/06/2018","GX - 07/09/2018",1,"B2","PLMA-6","WD",7,6,2018,"T2",4.12,1869,NA
"123","GX - 07/06/2018","GX - 07/09/2018",1,"B2","DASP-6","WD",7,6,2018,"T2",3.93,1783,NA
"124","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SYNO-17","WD",7,6,2018,"T2",4.09,1855,NA
"125","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SOBI-9","WD",7,6,2018,"T2",3.94,1787,NA
"126","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SITR-2","WD",7,6,2018,"T2",4.18,1896,NA
"127","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SESE-7","WD",7,6,2018,"T2",4.36,1978,NA
"128","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SEAL-8","WD",7,6,2018,"T2",4.13,1873,NA
"129","GX - 07/06/2018","GX - 07/09/2018",1,"B2","VAMA-3","WD",7,6,2018,"T2",4.38,1987,NA
"130","GX - 07/06/2018","GX - 07/09/2018",1,"B2","FERU-19","WD",7,6,2018,"T2",3.69,1674,NA
"131","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SEAC-3","WD",7,7,2018,"T3",4.17,1891,NA
"132","GX - 07/07/2018","GX - 07/09/2018",1,"B2","DEFL-20","WD",7,7,2018,"T3",3.86,1751,NA
"133","GX - 07/07/2018","GX - 07/09/2018",1,"B2","EMNI-9","WD",7,7,2018,"T3",4.46,2023,NA
"134","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SC-7","WD",7,7,2018,"T3",3.78,1715,NA
"135","GX - 07/07/2018","GX - 07/09/2018",1,"B2","PLMA-6","WD",7,7,2018,"T3",4.03,1828,NA
"136","GX - 07/07/2018","GX - 07/09/2018",1,"B2","DASP-6","WD",7,7,2018,"T3",3.85,1746,NA
"137","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SYNO-17","WD",7,7,2018,"T3",3.94,1787,NA
"138","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SOBI-9","WD",7,7,2018,"T3",3.75,1701,NA
"139","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SITR-2","WD",7,7,2018,"T3",4.07,1846,NA
"140","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SESE-7","WD",7,7,2018,"T3",4.27,1937,NA
"141","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SEAL-8","WD",7,7,2018,"T3",3.97,1801,NA
"142","GX - 07/07/2018","GX - 07/09/2018",1,"B2","VAMA-3","WD",7,7,2018,"T3",4.27,1937,NA
"143","GX - 07/07/2018","GX - 07/09/2018",1,"B2","FERU-19","WD",7,7,2018,"T3",3.48,1578,NA
"144","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SEAC-3","WD",7,7,2018,"T4",4.07,1846,NA
"145","GX - 07/07/2018","GX - 07/09/2018",1,"B2","DEFL-20","WD",7,7,2018,"T4",3.74,1696,NA
"146","GX - 07/07/2018","GX - 07/09/2018",1,"B2","EMNI-9","WD",7,7,2018,"T4",4.35,1973,NA
"147","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SC-7","WD",7,7,2018,"T4",3.7,1678,NA
"148","GX - 07/07/2018","GX - 07/09/2018",1,"B2","PLMA-6","WD",7,7,2018,"T4",3.96,1796,NA
"149","GX - 07/07/2018","GX - 07/09/2018",1,"B2","DASP-6","WD",7,7,2018,"T4",3.77,1710,NA
"150","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SYNO-17","WD",7,7,2018,"T4",3.78,1715,NA
"151","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SOBI-9","WD",7,7,2018,"T4",3.55,1610,NA
"152","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SITR-2","WD",7,7,2018,"T4",3.99,1810,NA
"153","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SESE-7","WD",7,7,2018,"T4",4.18,1896,NA
"154","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SEAL-8","WD",7,7,2018,"T4",3.87,1755,NA
"155","GX - 07/07/2018","GX - 07/09/2018",1,"B2","VAMA-3","WD",7,7,2018,"T4",4.22,1914,NA
"156","GX - 07/07/2018","GX - 07/09/2018",1,"B2","FERU-19","WD",7,7,2018,"T4",3.32,1506,NA
"157","GX - 07/06/2018","GX - 07/09/2018",1,"B2","EMNI-15","WD",7,6,2018,"T1",3.03,1374,NA
"158","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SC-11","WD",7,6,2018,"T1",3.2,1451,NA
"159","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SOBI-13","WD",7,6,2018,"T1",3.04,1379,NA
"160","GX - 07/06/2018","GX - 07/09/2018",1,"B2","PLMA-18","WD",7,6,2018,"T1",3.22,1461,NA
"161","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SYNO-19","WD",7,6,2018,"T1",2.84,1288,NA
"162","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SESE-10","WD",7,6,2018,"T1",3.38,1533,NA
"163","GX - 07/06/2018","GX - 07/09/2018",1,"B2","VAMA-17","WD",7,6,2018,"T1",3.65,1656,NA
"164","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SITR-20","WD",7,6,2018,"T1",3.24,1470,NA
"165","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SEAL-12","WD",7,6,2018,"T1",3.21,1456,NA
"166","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SEAC-13","WD",7,6,2018,"T1",3.3,1497,NA
"167","GX - 07/06/2018","GX - 07/09/2018",1,"B2","DASP-15","WD",7,6,2018,"T1",3.46,1569,NA
"168","GX - 07/06/2018","GX - 07/09/2018",1,"B2","DEFL-1","WD",7,6,2018,"T1",3.42,1551,NA
"169","GX - 07/06/2018","GX - 07/09/2018",1,"B2","FERU-6","WD",7,6,2018,"T1",3.61,1637,NA
"170","GX - 07/06/2018","GX - 07/09/2018",1,"B2","EMNI-15","WD",7,6,2018,"T2",3.96,1796,NA
"171","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SC-11","WD",7,6,2018,"T2",4,1814,NA
"172","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SOBI-13","WD",7,6,2018,"T2",3.93,1783,NA
"173","GX - 07/06/2018","GX - 07/09/2018",1,"B2","PLMA-18","WD",7,6,2018,"T2",4.2,1905,NA
"174","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SYNO-19","WD",7,6,2018,"T2",3.81,1728,NA
"175","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SESE-10","WD",7,6,2018,"T2",4.22,1914,NA
"176","GX - 07/06/2018","GX - 07/09/2018",1,"B2","VAMA-17","WD",7,6,2018,"T2",4.28,1941,NA
"177","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SITR-20","WD",7,6,2018,"T2",4.2,1905,NA
"178","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SEAL-12","WD",7,6,2018,"T2",4.17,1891,NA
"179","GX - 07/06/2018","GX - 07/09/2018",1,"B2","SEAC-13","WD",7,6,2018,"T2",4.19,1901,NA
"180","GX - 07/06/2018","GX - 07/09/2018",1,"B2","DASP-15","WD",7,6,2018,"T2",4.09,1855,NA
"181","GX - 07/06/2018","GX - 07/09/2018",1,"B2","DEFL-1","WD",7,6,2018,"T2",4.12,1869,NA
"182","GX - 07/06/2018","GX - 07/09/2018",1,"B2","FERU-6","WD",7,6,2018,"T2",3.61,1637,NA
"183","GX - 07/07/2018","GX - 07/09/2018",1,"B2","EMNI-15","WD",7,7,2018,"T3",3.88,1760,NA
"184","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SC-11","WD",7,7,2018,"T3",3.91,1774,NA
"185","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SOBI-13","WD",7,7,2018,"T3",3.79,1719,NA
"186","GX - 07/07/2018","GX - 07/09/2018",1,"B2","PLMA-18","WD",7,7,2018,"T3",4.07,1846,NA
"187","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SYNO-19","WD",7,7,2018,"T3",3.73,1692,NA
"188","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SESE-10","WD",7,7,2018,"T3",4.12,1869,NA
"189","GX - 07/07/2018","GX - 07/09/2018",1,"B2","VAMA-17","WD",7,7,2018,"T3",4.18,1896,NA
"190","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SITR-20","WD",7,7,2018,"T3",4.08,1851,NA
"191","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SEAL-12","WD",7,7,2018,"T3",4.01,1819,NA
"192","GX - 07/07/2018","GX - 07/09/2018",1,"B2","SEAC-13","WD",7,7,2018,"T3",4.07,1846,NA
"193","GX - 07/07/2018","GX - 07/09/2018",1,"B2","DASP-15","WD",7,7,2018,"T3",4,1814,NA
"194","GX - 07/07/2018","GX - 07/09/2018",1,"B2","DEFL-1","WD",7,7,2018,"T3",4,1814,NA
"195","GX - 07/07/2018","GX - 07/09/2018",1,"B2","FERU-6","WD",7,7,2018,"T3",3.42,1551,NA
"196","GX - 07/08/2018","GX - 07/09/2018",1,"B2","EMNI-15","WD",7,8,2018,"T4",3.76,1705,NA
"197","GX - 07/08/2018","GX - 07/09/2018",1,"B2","SC-11","WD",7,8,2018,"T4",3.81,1728,NA
"198","GX - 07/08/2018","GX - 07/09/2018",1,"B2","SOBI-13","WD",7,8,2018,"T4",3.64,1651,NA
"199","GX - 07/08/2018","GX - 07/09/2018",1,"B2","PLMA-18","WD",7,8,2018,"T4",3.92,1778,NA
"200","GX - 07/08/2018","GX - 07/09/2018",1,"B2","SYNO-19","WD",7,8,2018,"T4",3.63,1647,NA
"201","GX - 07/08/2018","GX - 07/09/2018",1,"B2","SESE-10","WD",7,8,2018,"T4",4.02,1823,NA
"202","GX - 07/08/2018","GX - 07/09/2018",1,"B2","VAMA-17","WD",7,8,2018,"T4",4.08,1851,NA
"203","GX - 07/08/2018","GX - 07/09/2018",1,"B2","SITR-20","WD",7,8,2018,"T4",4,1814,NA
"204","GX - 07/08/2018","GX - 07/09/2018",1,"B2","SEAL-12","WD",7,8,2018,"T4",3.87,1755,NA
"205","GX - 07/08/2018","GX - 07/09/2018",1,"B2","SEAC-13","WD",7,8,2018,"T4",3.96,1796,NA
"206","GX - 07/08/2018","GX - 07/09/2018",1,"B2","DASP-15","WD",7,8,2018,"T4",3.92,1778,NA
"207","GX - 07/08/2018","GX - 07/09/2018",1,"B2","DEFL-1","WD",7,8,2018,"T4",3.9,1769,NA
"208","GX - 07/08/2018","GX - 07/09/2018",1,"B2","FERU-6","WD",7,8,2018,"T4",3.27,1483,NA
"209","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SOBI-20","WW",7,7,2018,"T1",2.96,1343,NA
"210","GX - 07/07/2018","GX - 07/09/2018",1,"B1","FERU-3","WW",7,7,2018,"T1",2.78,1261,NA
"211","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SESE-9","WW",7,7,2018,"T1",3.39,1538,NA
"212","GX - 07/07/2018","GX - 07/09/2018",1,"B1","VAMA-16","WW",7,7,2018,"T1",3.22,1461,NA
"213","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SEAC-9","WW",7,7,2018,"T1",3.23,1465,NA
"214","GX - 07/07/2018","GX - 07/09/2018",1,"B1","PLMA-11","WW",7,7,2018,"T1",3.48,1578,NA
"215","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SC-14","WW",7,7,2018,"T1",2.99,1356,NA
"216","GX - 07/07/2018","GX - 07/09/2018",1,"B1","EMNI-2","WW",7,7,2018,"T1",3.85,1746,NA
"217","GX - 07/07/2018","GX - 07/09/2018",1,"B1","DASP-9","WW",7,7,2018,"T1",3.01,1365,NA
"218","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SEAL-5","WW",7,7,2018,"T1",3.12,1415,NA
"219","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SYNO-13","WW",7,7,2018,"T1",2.86,1297,NA
"220","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SITR-4","WW",7,7,2018,"T1",3.57,1619,NA
"221","GX - 07/07/2018","GX - 07/09/2018",1,"B1","DEFL-15","WW",7,7,2018,"T1",3.07,1393,NA
"222","GX - 07/07/2018","GX - 07/09/2018",1,"B1","VAMA-1","WW",7,7,2018,"T1",3.37,1529,NA
"223","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SESE-19","WW",7,7,2018,"T1",3.82,1733,NA
"224","GX - 07/07/2018","GX - 07/09/2018",1,"B1","FERU-16","WW",7,7,2018,"T1",4.28,1941,NA
"225","GX - 07/07/2018","GX - 07/09/2018",1,"B1","SEAL-7","WW",7,7,2018,"T1",3.1,1406,NA
